1;04/03/2024 09:30:00;90;Mi Alapok;E421;-14508787
2;04/03/2024 11:00:00;45;SzoftTech Ea;E421;-1
3;04/03/2024 14:30:00;90;Python;F111;-65536
4;05/03/2024 10:00:00;90;Játékfejlesztés;E332;-1
5;05/03/2024 14:00:00;90;Numerikus ;E331;-65536
6;05/03/2024 12:15:00;90;Adatbázis;-;-1
7;06/03/2024 08:15:00;105;Linux;F111;-65536
8;06/03/2024 10:00:00;90;Numerikus;E331;-65536
9;07/03/2024 10:00:00;120;SzoftTech Gy;E219;-65536
10;07/03/2024 12:00:00;120;Webprog;F103;-65536
11;08/03/2024 10:00:00;90;Frontend;F111;-65536
12;08/03/2024 12:00:00;90;C#;F111;-1
